,category,headline,authors,link,short_description,date
38352,CRIME,How The U.S. Marshals And Bureau Of Prisons Are Trying To Break My Hunger Strike,"Martin Gottesfeld, ContributorImprisoned human rights activist, alleged Anonymous hacker, an...",https://www.huffingtonpost.com/entry/how-the-us-marshalls-bureau-of-prisons-are-trying_us_586abd7be4b068764965c3af,"He seems surprised by the litany, caught off guard by how fervent I am while in such a weak state. I also sense a beating",2017-01-02
38365,CRIME,Videos Capture Moment Gunman Opens Fire At Istanbul Nightclub,Mary Papenfuss,https://www.huffingtonpost.com/entry/cctv-captures-chilling-moment-when-gunman-opens-fire-in-istanbul-nightclub_us_58699424e4b0d9a5945be40b,Dozens of victims at the popular hot spot were foreigners.,2017-01-02
38378,CRIME,New Mexico Store Bans 'Obama & Other Muslims',Sebastian Murdock,https://www.huffingtonpost.com/entry/new-mexico-store-racism-obama-muslims_us_586a71a3e4b0eb58648a1518,"We get it, you're racist.",2017-01-02
38396,CRIME,Report Criticizes Private Mississippi Prison After Deadly Riot,"Christopher Zoukis, ContributorAuthor, Federal Prison Handbook: The Definitive Guide to Survi...",https://www.huffingtonpost.com/entry/report-criticizes-private_b_13914440.html,,2017-01-02
38423,CRIME,Retired Politician Accused Of Molesting 103-Year-Old Former In-Law,David Moye,https://www.huffingtonpost.com/entry/william-spingler-assault-103-year-old-woman_us_5868300ee4b0eb586489bfe7,Nursing home workers tell police they saw it more than once.,2017-01-01
38426,CRIME,Police Hunt For California Couple Missing On Big Sur Trip,Mary Papenfuss,https://www.huffingtonpost.com/entry/searchers-hunt-for-couple-missing-in-big-sur-trip_us_586857f8e4b0de3a08f8c648,Their phones went dead the day they left more than a week ago.,2017-01-01
38447,CRIME,Dog Mauls Owners After They Tried To Dress Him In Sweater: Police,Nina Golgowski,https://www.huffingtonpost.com/entry/dog-mauls-owners-over-sweater_us_58695f88e4b0d9a5945be1e3,"It took a tranquilizer gun, beanbag gun and stun gun to subdue the dog.",2017-01-01
38621,CRIME,Former Manson Family Member Patricia Krenwinkel Seeks Parole For 1969 Killings,Mary Papenfuss,https://www.huffingtonpost.com/entry/manson-family-patricia-krenwinkel-parole_us_58659c73e4b0eb586488d76d,She has been in prison longer than any other female in California history.,2016-12-30
38642,CRIME,'Serial' Subject Adnan Syed Is Denied Bail Motion,Jenna Amatulli,https://www.huffingtonpost.com/entry/serial-adnan-syed-bail-motion_us_58653387e4b0eb5864886f35,Syed will now stay in prison and wait for the appellate court to decide whether he gets a new trial.,2016-12-29
38665,CRIME,Amazon Refuses To Comply With Police Request In Arkansas Murder Case,David Lohr,https://www.huffingtonpost.com/entry/amazon-arkansas-murder-case_us_58642d86e4b0eb586488082c,Authorities are hoping the e-commerce giant's virtual assistant can provide a breakthrough.,2016-12-29
38667,CRIME,Texas Officer Gives Pot-Smoking Teen A Choice: Jail Or 200 Pushups,Chris D'Angelo,https://www.huffingtonpost.com/entry/texas-police-pushups-marijuana_us_586400c8e4b0eb586487daf5,"""We need more cops like this.""",2016-12-29
38693,CRIME,Amazon Echo May Be Sending Its Sound Waves Into The Court Room As Our First 'Smart Witness',"Andrew L. Rossow, Esq., ContributorCyberspace and Technology Attorney. Follow his #CYBERBYTE series",https://www.huffingtonpost.com/entry/amazons-echo-may-be-sending-its-sound-waves-into-the_us_58656ceae4b04d7df167d377,"“Hey Alexa, will anything I say to you be used against me in a court of law?” “I’m sorry, I cannot answer that question at",2016-12-29
38731,CRIME,Chicago Police Body-Camera Rollout To Be Finished Early: Mayor,,https://www.huffingtonpost.com/entry/chicago-cops-body-cameras_us_586429e0e4b0de3a08f7029c,"It's a ""win-win for officers and the public.”",2016-12-28
38889,CRIME,Security Guard's Home Reportedly Searched In Missing MetLife Employee Case,David Lohr,https://www.huffingtonpost.com/entry/security-guards-home-searched-in-missing-metlife-employee-case-report_us_5862efcee4b0eb5864878738,"Authorities were seen removing a mattress from the Berkley, Michigan, residence.",2016-12-27
38890,CRIME,Where Does Chicago Go After More Than 750 Homicides?,Kim Bellware,https://www.huffingtonpost.com/entry/chicago-homicide-2016_us_5862a733e4b0eb5864873b2a,The city is wrestling with tough questions amid the highest rate of killings in almost 20 years.,2016-12-27
38903,CRIME,Police Eye Ex-Husband In Anne-Christine Johnson's Disappearance,David Lohr,https://www.huffingtonpost.com/entry/ex-husband-anne-christine-johnson_us_5862d37ee4b0d9a594596361,"The missing mom once told authorities she feared her ex would ""hurt me or even kill me.""",2016-12-27
38923,CRIME,Police Search For Inmates Who Reportedly Escaped Through Hole Behind Toilet,Steven Hoffer,https://www.huffingtonpost.com/entry/inmates-escape-hole-toilet_us_5861595be4b0d9a59458e1c9,One of the men is considered dangerous.,2016-12-26
38959,CRIME,"Owner Killed, 5 Wounded In New York Nightclub Shooting",Mary Papenfuss,https://www.huffingtonpost.com/entry/two-killed-four-wounded-in-new-york-nightclub-shooting_us_5860a230e4b0d9a59458c041,The suspect was out on bail on another attempted murder charge.,2016-12-26
38967,CRIME,"Parents Apparently Overdose At Home, Baby Daughter Starves To Death Days Later",Mary Papenfuss,https://www.huffingtonpost.com/entry/parents-overdose-baby-starves_us_58606d88e4b0eb586486bcec,The Pennsylvania couple likely died within minutes of each other.,2016-12-26
38993,CRIME,Cops Seize Cannabis Plant Decorated As A Christmas Tree,Lee Moran,https://www.huffingtonpost.com/entry/cannabis-christmas-tree_us_585f89e5e4b0de3a08f59405,"It was dressed with tinsel, twinkling fairy lights and had a golden angel on top.",2016-12-25
39160,CRIME,"Steven Avery, Subject Of 'Making A Murderer,' Has A Christmas Message For His Supporters",Sebastian Murdock,https://www.huffingtonpost.com/entry/steven-avery-christmas-message_us_585d7b0be4b0d9a594583984,"""Thank you for believing in me,"" he wrote.",2016-12-23
39194,CRIME,Suspect Arrested In Road Rage Death Of 3-Year-Old Boy,Mary Papenfuss,https://www.huffingtonpost.com/entry/arrest-road-rage-death-3-year-old-boy_us_585d7034e4b0d9a594583286,"Acen King was shot because his grandmother's car ""wasn't moving fast enough,"" police said.",2016-12-23
39210,CRIME,Manhattan Apartment Building Catches Fire; At Least 24 Injured,Sebastian Murdock,https://www.huffingtonpost.com/entry/manhattan-apartment-building-catches-fire-trapping-20-on-roof_us_585c5c5fe4b0eb586485e547,Four of the injured are firefighters.,2016-12-22
39242,CRIME,Ikea Pleads With Teen Pranksters: Stop Sleeping Over In Our Stores,Mary Papenfuss,https://www.huffingtonpost.com/entry/ikea-stealth-sleepover-video_us_585c3bb5e4b0de3a08f4bd04,"It all began with a viral video, ""Two Idiots at Night in Ikea.""",2016-12-22
39267,CRIME,"Man Killed Stepmom While She Watched TV, Police Say",David Moye,https://www.huffingtonpost.com/entry/pontrey-oneal-jones-stab-stepmom-cowboys_us_585c1d12e4b0de3a08f4840f,The suspect allegedly planned to break his sister's neck before setting sights on his stepmother.,2016-12-22
39316,CRIME,Death Sentences Decline In U.S. As Public Attitudes Shift,"By Jon Herskovitz, Reuters",https://www.huffingtonpost.com/entry/us-capital-punishment_us_585a5948e4b0de3a08f38864,"The number of new death sentences in 2016 is expected to hit 30, a low not seen since the U.S. Supreme Court declared existing death penalty statutes unconstitutional in 1972.",2016-12-21
39400,CRIME,Former Reality Show Bride Reported Missing In California,Mary Papenfuss,https://www.huffingtonpost.com/entry/reality-show-bride-missing-lisa-marie-naegle_us_585982fae4b0b3ddfd8f1681,"""I'm flipping out,"" her husband says.",2016-12-20
39450,CRIME,"Missing MetLife Employee Is 'Victim Of A Crime,' Cops Say",David Lohr,https://www.huffingtonpost.com/entry/missing-metlife-employee-victim-of-a-crime-cops_us_5859742be4b0b3ddfd8f0201,The announcement comes a week after Danielle Stislicki's family told HuffPost they believe she was abducted.,2016-12-20
39454,CRIME,"Authorities Say Texas Man Is Hindering Investigation Into Slaying Of Wife, Child",David Lohr,https://www.huffingtonpost.com/entry/texas-man-hires-attorney-after-brutal-slaying-of-wife-child_us_58599befe4b0de3a08f346b0,"Police say they're unable to ""move ahead"" with the case now that the man has lawyered up.",2016-12-20
39530,CRIME,Woman Killed When Giant Tree Topples On California Wedding Party,Mary Papenfuss,https://www.huffingtonpost.com/entry/wedding-tree-death_us_5857fe36e4b08debb789eb09,The tragedy may be linked to drought in the area followed by recent heavy rains.,2016-12-19
39620,CRIME,"Road-Rage Shooting Leaves 3-Year-Old Boy Dead, Suspect At Large: Cops",Nina Golgowski,https://www.huffingtonpost.com/entry/toddler-killed-road-rage-shooting-arkansas_us_5856c47fe4b08debb7899a7b,"The child was sitting in the back of his grandmother's vehicle when he was fatally shot, police said.",2016-12-18
39621,CRIME,"Fiery Pileup On Baltimore Interstate Leaves 2 Dead, 23 Injured",Nina Golgowski,https://www.huffingtonpost.com/entry/baltimore-interstate-fire-crash_us_5856e1c0e4b0390447093627,"“It’s a miracle more people weren’t hurt or killed,” a Baltimore city official said.",2016-12-18
39822,CRIME,Dylann Roof Convicted In Slayings Of Black Church Members,Sebastian Murdock,https://www.huffingtonpost.com/entry/dylann-roof-convicted-in-slayings-of-black-church-members_us_5852fb48e4b0b3ddfd8bc23f,Jurors have yet to decide if he will be put to death.,2016-12-15
39968,CRIME,Registered Sex Offender Allegedly Caught Working As Petco Santa Claus,Ed Mazza,https://www.huffingtonpost.com/entry/sex-offender-santa-petco_us_5850b80be4b0e411bfd457d3,"Company says the Santa is ""no longer at Petco.""",2016-12-14
40077,CRIME,"Feds Escalate Charges Against Edgar Welch, Alleged 'Pizzagate' Shooter",Kim Bellware,https://www.huffingtonpost.com/entry/pizzagate-federal-charges_us_58502c44e4b0bd9c3dfef964,Federal investigators have tacked on two more charges since the initial indictment.,2016-12-13
40091,CRIME,Man Jailed in Suspected Hate Crime After Mosque Worshiper Is Stabbed in California,Mary Papenfuss,https://www.huffingtonpost.com/entry/simi-valley-mosque-stabbing_us_584e030ce4b0bd9c3dfd4cfb,He allegedly attacked a Muslim in a scuffle outside Simi Valley Islamic center.,2016-12-12
40201,CRIME,Muslim NYPD Officers Ask For Meeting With Trump Over Hate Crime Spike,Mary Papenfuss,https://www.huffingtonpost.com/entry/nypd-hate-crime-trump-meeting_us_584cf127e4b0bd9c3dfd2f86,"Election rhetoric is a key factor in the attacks, says a letter requesting a sit-down with the president-elect.",2016-12-11
40280,CRIME,Muslim Teen Who Went Missing After Reporting Hate Crime Has Been Found,Hilary Hanson,https://www.huffingtonpost.com/entry/muslim-teen-found-nyc-hate-crime_us_584c3f92e4b0e05aded4371f,She had said three men on the train tried to rip her hijab off. Now she's charged with filing a false report.,2016-12-10
40334,CRIME,Georgia Police Officers Both Die After Shooting Near College,,https://www.huffingtonpost.com/entry/georgia-police-killed_us_5849f133e4b0bd9c3dfc1056,The suspect killed himself inside a home after a standoff with police.,2016-12-09
40335,CRIME,"Hooded Thieves Swarm San Francisco Apple Store, Swipe Gadgets",Lee Moran,https://www.huffingtonpost.com/entry/apple-store-theft-san-francisco_us_584a8b88e4b04c8e2baf477d,Crooks hit up the same outlet twice in one week.,2016-12-09
40341,CRIME,CAUGHT ON VIDEO: World's Grinch-iest Vandal Tries To Kill Frosty The Snowman,Ed Mazza,https://www.huffingtonpost.com/entry/vandal-vs-frosty-the-snowman_us_584a5332e4b0e05aded34bb9,You're a mean one!,2016-12-09
40372,CRIME,Charleston Shooter Dylann Roof Confesses In Chilling Video: 'I Did It',"Harriet McLeod, Reuters",https://www.huffingtonpost.com/entry/charleston-shooting-roof-confesses_us_584b1533e4b0e05aded3f591,"“I went to that church in Charleston and, uh, I did it,” Roof said of the shooting that killed nine.",2016-12-09
40392,CRIME,Ohio Is About to Outlaw ... Bestiality,Mary Papenfuss,https://www.huffingtonpost.com/entry/ohio-bestiality_us_584a209ce4b0e05aded34649,It's legal in nine states,2016-12-09
40409,CRIME,"Firefighter Charged With Torching His House, Blaming It On Anti-Cop Suspects",Nina Golgowski,https://www.huffingtonpost.com/entry/firefighter-accused-of-torching-house_us_58496bb3e4b0d0aa037f6b90,"A spray-painted message on the home read: “Lie with pigs, fry like bacon.”",2016-12-08
40423,CRIME,17-Year-Old Allegedly Kills Staffer In Escape Attempt From Troubled-Teen Facility,Sebastian Murdock,https://www.huffingtonpost.com/entry/teen-allegedly-kills-facility-staffer_us_58498029e4b04002fa8013f6,"“It was a brutal, vicious, violent, very violent attack,” Garfield County Sheriff James Perkins said.",2016-12-08
40615,CRIME,Oakland Fire Is Deadliest In U.S. Since 2003,Lydia O'Connor,https://www.huffingtonpost.com/entry/nearly-all-bodies-identified-in-oakland-warehouse-fire_us_5845f953e4b028b323390156,"As officials finish recovering bodies, the district attorney is exploring the possibility of criminal liability.",2016-12-06
40626,CRIME,Oakland Warehouse Manager Has Meltdown During Live TV Interview About Fatal Fire,Hayley Miller,https://www.huffingtonpost.com/entry/oakland-warehouse-fire-derick-almena-meltdown_us_5846c075e4b055b3139925c1,"He said he’d rather let the victims’ parents “tear at my flesh than answer these ridiculous questions.""",2016-12-06
40690,CRIME,Leader Of Oakland Artist Collective Sparks Outrage For Focusing On Himself After Deadly Fire,Mary Papenfuss,https://www.huffingtonpost.com/entry/derick-ion-oakland-fire_us_58438f4de4b0c68e04815b97,Derick Ion's Facebook post didn't mention that many people had died.,2016-12-05
40694,CRIME,What You Can Do To Help After The Oakland Warehouse Fire,Hayley Miller,https://www.huffingtonpost.com/entry/how-to-help-oakland-warehouse-fire_us_58454f62e4b0c68e0481ae28,"At least 36 people died in the fire, and as many as 20 tenants may have lost their homes.",2016-12-05
40695,CRIME,These Are The Victims Of The Deadly Oakland Warehouse Fire,Kim Bellware,https://www.huffingtonpost.com/entry/oakland-warehouse-fire-victims_us_5844a502e4b0c68e04817952,Officials confirmed that victims included children and foreign nationals from Europe and Asia.,2016-12-05
40696,CRIME,Man Allegedly Threatens To Cut Throat Of Off-Duty Muslim NYPD Cop,Ron Dicker,https://www.huffingtonpost.com/entry/off-duty-muslim-nypd-cop-threatened_us_58454edbe4b09e21702f7e8f,"""Go back to your country,"" suspect told Aml Elsokary after shoving her son, cops say.",2016-12-05
40711,CRIME,Drunk Grinch Sees Error Of His Ways After Stealing Light-Up Reindeer,Lee Moran,https://www.huffingtonpost.com/entry/thief-reindeer-apologize-note_us_58451a12e4b0c68e048195ab,He wrote an anonymous letter of apology to the little girl whose Christmas display he stole.,2016-12-05
40751,CRIME,Justin Ross Harris Sentenced To Life In Prison For Toddler's Hot-Car Death,"Rich McKay, Reuters",https://www.huffingtonpost.com/entry/justin-ross-harris-sentenced-to-life_us_5845ce48e4b02f60b024577c,The 35-year-old was found guilty of intentionally leaving his 22-month-old son to die inside a sweltering car.,2016-12-05
40785,CRIME,Massachusetts Fire Rips Through Cambridge Buildings,,https://www.huffingtonpost.com/entry/cambridge-massachusetts-fire_us_584361dce4b0c68e048156b2,Multiple responders were reportedly injured.,2016-12-04
40836,CRIME,Arrest Made After Missing Teen's Body Found Decapitated Along River,Nina Golgowski,https://www.huffingtonpost.com/entry/arrest-made-in-decapitated-teen-death_us_584443b1e4b0c68e04816df2,"Lee Manuel Viloria-Paulino, who was last seen Nov. 18, was found dead on Thursday.",2016-12-04
40840,CRIME,Oakland Warehouse Fire Death Toll Continues To Soar,Lydia O'Connor,https://www.huffingtonpost.com/entry/oakland-warehouse-fire_us_58444428e4b09e21702f3e09,"At least 36 people have been confirmed dead in the fire, which started Friday night.",2016-12-04
40856,CRIME,"Oakland Warehouse Party Fire Death Toll Could Reach 40, Officials Say",Sebastian Murdock,https://www.huffingtonpost.com/entry/oakland-warehouse-fire_us_5842ef81e4b0c68e048114dc,Fire officials are still trying to determine how the blaze started.,2016-12-03
40857,CRIME,USC Faculty Stabbed To Death On Campus,,https://www.huffingtonpost.com/entry/usc-faculty-stabbing_us_58423d59e4b0c68e048105aa,A suspect had been arrested in connection with the killing of the man.,2016-12-03
40894,CRIME,FBI Captures 'Top 10 Most Wanted' Fugitive In Los Angeles,"Brendan O’Brien, Reuters",https://www.huffingtonpost.com/entry/fbi-marlon-jones-arrest_us_5842a0cbe4b0c68e04810d9f,Marlon Jones was wanted in connection with a fatal shooting at a birthday party.,2016-12-03
40900,CRIME,Authorities In Sherri Papini Case Give Conflicting Statements On Alleged Abduction,David Lohr,https://www.huffingtonpost.com/entry/hoax-not-ruled-out-in-sherri-papinis-alleged-abduction_us_5841f882e4b0c68e0480eb9f,"A woman at the local sheriff's office said a hoax had not been ""ruled out,"" but the sheriff later said they believe the abduction was real.",2016-12-03
40945,CRIME,Trial Over Walter Scott Killing By South Carolina Police Deadlocks Over Holdout Juror,"Harriot McLeod, Reuters",https://www.huffingtonpost.com/entry/jury-deadlocked-over-police-shooting-of-unarmed-black-man_us_5841ecffe4b0c68e0480d6e4,"Fleeing a traffic stop, Scott was shot by the officer and the incident captured on video.",2016-12-02
41034,CRIME,Suspect In Custody After Robbery Turns To Hostage Situation At Florida Bank,Sebastian Murdock,https://www.huffingtonpost.com/entry/florida-bank-hostages_us_5840463ce4b0c68e047f2eaf,At least 11 people were held hostage.,2016-12-01
41123,CRIME,"Ohio State Attacker May Have Been Inspired By Overseas Militants, FBI Says","Alex Dobuzinskis, Reuters",https://www.huffingtonpost.com/entry/ohio-state-attacker-inspired-militants-overseas_us_583f363ce4b0c68e047e8357,"Abdul Razak Ali Artan, a 20-year-old Muslim student at the school, plowed into pedestrians with a car and then exited the vehicle to stab other victims on Monday.",2016-11-30
41127,CRIME,One Of Two Jail Escapees Captured In California After Week-Long Hunt,,https://www.huffingtonpost.com/entry/1-of-2-jail-escapees-caught_us_583ed356e4b0ae0e7cdae676,"Rogelio Chavez, who rappelled from the Santa Clara County jail using clothes, remains on the run.",2016-11-30
41135,CRIME,Thief Nabs $1.6 Million Bucket Of Gold Left On Back Of Truck: Cops,Nina Golgowski,https://www.huffingtonpost.com/entry/thief-nabs-bucket-of-gold_us_583f0adde4b0c68e047e198a,"""As I would say, this leprechaun grabbed a pot of gold,"" a police detective said of the brazen theft.",2016-11-30
41160,CRIME,"Ohio State Attacker Appears To Have Been Inspired By ISIS, Anwar Al-Awlaki","Alex Dobuzinskis, Reuters",https://www.huffingtonpost.com/entry/ohio-state-attack-isis_us_583f59f8e4b09e21702ca313,"The Muslim student plowed a car into people at the campus, then stabbed others.",2016-11-30
41231,CRIME,"Ohio State Attacker May Have Self-Radicalized, Officials Say",,https://www.huffingtonpost.com/entry/ohio-state-attacker-self-radicalized_us_583df302e4b0ae0e7cda763f,Artan’s actions fit the pattern of lone-wolf militants who carried out other attacks in the United States.,2016-11-29
41257,CRIME,ISIS Claims Responsibility For Attack At Ohio State University,,https://www.huffingtonpost.com/entry/isis-claims-responsibility-for-attack-at-ohio-state-university_us_583dda6ee4b06539a78ab780,"ISIS news agency AMAQ described him as a ""soldier"" of the group.",2016-11-29
41274,CRIME,"Argument Between Grandmas Ends In Shootout At Texas Walmart, Cops Say",Nina Golgowski,https://www.huffingtonpost.com/entry/grandma-shootout-at-walmart_us_583d828ce4b0860d611656ee,A 55-year-old woman was reportedly left with a gunshot wound to her neck.,2016-11-29
41331,CRIME,Ohio State University Attack Leaves 11 Injured,Willa Frej and Ryan Grenoble,https://www.huffingtonpost.com/entry/ohio-state-university-shooting_us_583c48c8e4b09b60560138c3,"Police fatally shot the suspect, OSU student Abdul Razak Ali Artan.",2016-11-28
41350,CRIME,Dylann Roof Gets Permission To Represent Himself At Trial,,https://www.huffingtonpost.com/entry/dylan-roof-trial_us_583c41bfe4b09b6056012d60,"He's accused of fatally shooting 9 people in a Charleston, South Carolina church.",2016-11-28
41410,CRIME,1 Dead And 9 Injured After Shooting In New Orleans' French Quarter,Lee Moran,https://www.huffingtonpost.com/entry/new-orleans-shooting-bourbon-street_us_583aa910e4b000af95ee7640,The incident happened just before 1:30 a.m. Sunday.,2016-11-27
41414,CRIME,Minnesota Police Department Trolls One Direction In Anti-Drunk Driving Tweet,Lee Moran,https://www.huffingtonpost.com/entry/wyoming-police-one-direction-tweet_us_583a97cbe4b000af95ee6f84,"""I will find you.""",2016-11-27
41498,CRIME,Alaska Hotel Killing Of 4 Suspected As Murder-Suicide,,https://www.huffingtonpost.com/entry/alaska-hotel-murder_us_5839f884e4b09b605600b6a1,An 8-week-old girl was among those shot dead.,2016-11-26
41502,CRIME,Serial Killer Jailed For Murdering 4 Gay Men He Met Online,"Stephen Addison, Reuters",https://www.huffingtonpost.com/entry/serial-killer-dating-websites-stephen-port_us_58399f94e4b000af95ee4cf0,"""These evil crimes have left entire families, a community and a nation in shock.""",2016-11-26
41559,CRIME,"Dylann Roof Mentally Competent To Stand Trial, Judge Rules",,https://www.huffingtonpost.com/entry/dylann-roof-trial-psychiatric-evaluation_us_5838550be4b01ba68ac4730e,"Earlier this month, defense attorneys had raised concerns for the first time about whether Roof was able to understand the nature of the proceedings against him and to assist in his defense.",2016-11-25
41623,CRIME,"Two killed, Four Wounded In Louisville Park Shootings",,https://www.huffingtonpost.com/entry/louisville-park-shooting_us_58377273e4b09b60560056a5,"Two men were dead at the scene, and the wounded suffered non-life-threatening injuries, police spokesman Dwight Mitchell said.",2016-11-24
41640,CRIME,Mom Accused Of Injecting Feces Into Cancer-Afflicted Son’s IV Bag,Nina Golgowski,https://www.huffingtonpost.com/entry/mom-accused-of-injecting-feces-into-iv_us_58371fc9e4b09b6056004d95,Tiffany Alberts was allegedly trying to get her 15-year-old son moved to a better facility.,2016-11-24
41645,CRIME,It's Time For Random Street Checks To Stop,"Kearie Daniel , Contributorwww.wokemommychatter.com",https://www.huffingtonpost.com/entry/its-time-for-random-street-checks-to-stop_us_583665c5e4b050dfe6187a08,"In a city that for some time has been plagued by an undercurrent of tension, due to ‘carding’ there was a level of hope, that",2016-11-24
41648,CRIME,Inmates On The Run After Using Clothes To Rappel From California Jail,,https://www.huffingtonpost.com/entry/california-inmates-on-the-run_us_583733eee4b000af95edfa51,"The inmates somehow managed to cut through the Santa Clara County jail's bars, authorities said.",2016-11-24
41663,CRIME,Video Shows E-Cigarette Exploding In Man's Pants 'Like It's Fourth Of July',Nina Golgowski,https://www.huffingtonpost.com/entry/e-cigarette-explodes-in-pants_us_5836f00fe4b09b605600480f,“I thought he had a pocket full of fireworks and then I realized he had an e-cigarette.”,2016-11-24
41693,CRIME,Racist Graffiti Scrawled All Over Georgia High School,Philip Lewis,https://www.huffingtonpost.com/entry/racist-graffiti-scrawled-all-over-georgia-high-school_us_5835d444e4b000af95ed8ad5,The graffiti included references to the KKK and to Donald Trump.,2016-11-23
41697,CRIME,Wayne State University Police Officer Dies After Being Shot In The Head,,https://www.huffingtonpost.com/entry/wayne-state-police-shotayn_us_583620b0e4b09b605600230d,"Rose, 29, was a five-year veteran of the force's canine unit.",2016-11-23
41749,CRIME,"Chattanooga School Bus Crash: No Drugs Or Alcohol In Driver, Death Toll Hits 6","Curtis Skinner, Reuters",https://www.huffingtonpost.com/entry/officials-find-no-drugs-and-alcohol-in-school-bus-driver-in-deadly-crash_us_58362796e4b000af95edd149,The crash occurred on a road that wasn't part of the driver's designated route.,2016-11-23
41801,CRIME,School Bus Driver Arrested In Crash That Killed 6 Children In Chattanooga,"By Frank McGurty, Reuters",https://www.huffingtonpost.com/entry/chattanooga-school-bus-crash_us_583400d1e4b058ce7aacc865,"Johnthony Walker, 24, faces five counts of vehicular homicide, reckless endangerment and reckless driving charges,",2016-11-22
41847,CRIME,Chattanooga Bus Driver In Deadly Crash Was Speeding Before Veering Off Road,"Laila Kearney, Reuters",https://www.huffingtonpost.com/entry/chattanooga-school-bus-crash_us_5834cfb6e4b01ba68ac38324,"5 children were killed: a kindergartner, a first-grader and three fourth-grade students.",2016-11-22
41897,CRIME,St. Louis Police Officer Shot In The Face While Sitting In SUV,,https://www.huffingtonpost.com/entry/st-louis-police-ambush_us_5832b462e4b030997bc03980,"The attack occurred hours after a similar ambush in San Antonio, Texas.",2016-11-21
41899,CRIME,"Woman Faked Being Pregnant Before Kidnapping Baby, Killing Mom: Cops","Steve Gorman, Reuters",https://www.huffingtonpost.com/entry/arrest-made-in-kidnapped-newborn_us_58336392e4b099512f8445cc,"Police said Yesenia Sesmas, 34, knew the infant's mother for years before she took her life and then her child.",2016-11-21
41931,CRIME,"Girl, 11, Finds Wanted Man Hiding Inside Her Bedroom Closet",Lee Moran,https://www.huffingtonpost.com/entry/burglar-girl-closet_us_5832b4c5e4b030997bc03988,"""I started screaming bloody murder.""",2016-11-21
41967,CRIME,Texas Police Officer Fatally Shot During Traffic Stop,"Jim Forsyth, Reuters",https://www.huffingtonpost.com/entry/texas-police-officer-fatally-shot_us_583215d8e4b099512f836fc1,"The San Antonio police officer was sitting in a squad car when he was shot twice, the city's police chief said.",2016-11-20
41970,CRIME,FBI Hunts 'Spelling Bee Bandit' Who Hands Over 'Robery' Notes,Lee Moran,https://www.huffingtonpost.com/entry/fbi-spelling-bee-bandit_us_58316fd4e4b058ce7aab8bd0,Authorities say he's targeted four Massachusetts banks since Oct. 31.,2016-11-20
41980,CRIME,Washington Woman Believed Kidnapped For Ransom Found Dead (UPDATE),,https://www.huffingtonpost.com/entry/kidnap-victim-not-found-after-ransom_us_5831f165e4b058ce7aabab48,Sandra Harris's remains were found two days after her husband said she was taken against her will.,2016-11-20
42030,CRIME,Nevada Ambulance Plane Crash Kills 3 Crew And Patient,,https://www.huffingtonpost.com/entry/nevada-ambulance-plane-crash_us_5830de3be4b030997bbfd9ba,The plane crashed in a parking lot near an airport.,2016-11-19
42031,CRIME,Rep. Danny Davis' Grandson Fatally Shot In Chicago,,https://www.huffingtonpost.com/entry/danny-davis-grandson-shot_us_5830b8f2e4b030997bbfd3da,Two teens broke into the home and shot the 15-year-old.,2016-11-19
42039,CRIME,Missing Kansas Newborn Found In Texas After Mother's Killing,,https://www.huffingtonpost.com/entry/missing-kansas-newborn-texas_us_5830cd50e4b099512f83415b,Two people were taken into custody at the Dallas home where the baby was found.,2016-11-19
42109,CRIME,"No Freedom For 'Making A Murderer's' Brendan Dassey, Court Rules",Kim Bellware,https://www.huffingtonpost.com/entry/brendan-dassey-making-a-murderer_us_582e06dfe4b099512f819514,Dassey's murder conviction was overturned in August by a judge who said his confession was coerced.,2016-11-18
42203,CRIME,Backpage CEO Likely To Walk From Pimping Charges As Judge Cites Shield Law,"Dan Levine, Reuters",https://www.huffingtonpost.com/entry/backpage-ceo-charges_us_582cf31fe4b099512f80da27,The judge cited a shield law for tech companies that protects them from prosecution for content posted by third parties.,2016-11-17
42235,CRIME,Man Who Tried To Burn Ex-Girlfriend's House With Cheetos Is Convicted,David Moye,https://www.huffingtonpost.com/entry/shemroy-williams-cheetos-fire_us_582e19e7e4b030997bbe5dfa,"""Oh my God, he tried to kill me,” the woman said as she watched the blaze.",2016-11-17
42354,CRIME,Taxi Driver With Knife In His Head Walks Into Hospital,Ron Dicker,https://www.huffingtonpost.com/entry/taxi-driver-with-knife-in-his-head-walks-into-hospital_us_582c5844e4b0aa8910bdbf4f,He suffered brain trauma.,2016-11-16
42391,CRIME,5-Year-Old Girl Abandoned At NYC Bus Terminal; Mother Found Dead,Ron Dicker,https://www.huffingtonpost.com/entry/5-year-old-girl-abandoned-at-nyc-bus-terminal-mother-found-dead_us_582ae063e4b0c4b63b0e5bfa,Police are searching for the child's father over the woman's death.,2016-11-15
42394,CRIME,Two Dead After Shooting At Oklahoma City Airport,Chris D'Angelo,https://www.huffingtonpost.com/entry/oklahoma-city-will-rogers-airport-shooting_us_582b6f36e4b01d8a014aef29,"The victim, Michael Winchester, was the father of a Kansas City Chiefs player.",2016-11-15
42418,CRIME,"Utah High School Stabbing Wounds 6, Including 16-Year-Old Suspect","Laila Kearney, Reuters",https://www.huffingtonpost.com/entry/utah-high-school-stabbing_us_582b7e54e4b0e39c1fa6c84e,"Victims were stabbed in either the neck or upper torso, before the attacker was taken down by stun gun.",2016-11-15
